Resume_str,Category,field,score,grade
"SALES ASSOCIATE       Summary    My goal is to become associated with a company where i can utilize my skills and gain further experience while
enhancing the company's productivity and reputation.      Experience     12/2014   to   02/2015     Sales Associate    Company Name   －   City  ,   State      Manage store alone (3rd shift)
Stock items/coolers thoroughly
Clean parking lot
Sweep/mop store.         05/2012   to   09/2012     Dishwasher/cook    Company Name   －   City  ,   State    Cooked a",SALES,business,13.0,0
"SALES MANAGER       Summary    Friendly and enthusiastic with over six years of specialization in hospitality. Able to learn new tasks quickly and proficient in growing key customer relationships. Represent establishment with friendly, professional demeanor at all times. Able to work in a fast paced establishment and passionate about exceeding expectations.      Highlights          Client relations specialist  Conflict resolution techniques  Team management  Meticulous attention to detail  Skill",SALES,business,31.0,1
"SALES ENGINEER       Profile     Write professional summary using keywords for application scanning robots.  Tailor resume to specific advertised position. Paragraph: 26 years of experience in the Engineering and Construction fields (2 - SENTENCES) ; 8 years project management experience | Sustainable design experience from conceptualization to building occupancy | Diverse client profile: Medical, Research & Development, Commercial, Educational and Industrial  (10 plus years (not exact dates or ",SALES,business,31.0,1
"SALES ASSOCIATE         Summary     Accountable Retail Sales Associate demonstrating a high level of ownership and initiative. Possessing 2 years small management experience. Quick and effective at decision making, while maintaining excellent customer service throughout the sales process in any given enviornment.        Highlights          6 years Customer Service Experience    Intermediate Microsoft Office (Word, Excel, etc.)    Outstanding communicational and operational skills    Proven abili",SALES,business,35.0,1
"SALES MANAGER         Summary    Driven sales and marketing professional with strong track record of planning, organizing, generating leads, and building and leading
high performing teams with 4+ years of experience in sales, business development and project management in the trucking and
mining industry. Bilingual and quick learner with an ability to prioritize simultaneous projects, prospect clients and perform well in
a demanding environment. Strong communication, presentation, organizational",SALES,business,55.0,2
"SALES ASSOCIATE       Summary    Punctual, customer-focused professional focused on exceeding expectations and building customer loyalty. Flexible schedule and
strong communicator who consistently meets and exceeds customer service goals. Reliable team player with an enthusiastic, outgoing
attitude.      Highlights            Interpersonal communication        High customer service standards             Adapt to diverse groups  Excellent people skills   Skilled problem solver  Consistently meets",SALES,business,34.0,1
"SALES ASSOCITE       Professional Summary    Dedicated to motivated to maintain customer satisfaction and contribute to company success. Skilled and committed to addressing customer concerns with speed, accuracy and professionalism. Customer Service Representative who maintains a high level of professionalism, patience and efficiency to minimize customer dissatisfaction and increase customer loyalty.      Core Qualifications          SAP  Active Listening Skills  Certified Forklift Operator  Qui",SALES,business,28.0,0
"SALES REPRESENTATIVE       Summary    A customer service representative in the hospitality industry seeking employment with a well-established company to further build my experience in the
hospitality industry, with the skills I've learnt as a medical assistant and also my prior experience in the
service industry. My goal is to ensure positive and safe travels.      Highlights          Cheerful and energetic  Effective team player  Flexible scheduling      Dependable and reliable  Active listeni",SALES,business,40.0,1
CONSULTANT       Summary      Human Resource Professional  highly effective at incorporating creative leadership skills to achieve business objectives. Directs projects that improve efficiency while meeting deadlines and budget requirements. Human Resource Professional   highly effective at incorporating creative leadership skills to achieve business objectives. Directs projects that improve efficiency while meeting deadlines and budget requirements.        Highlights            Budgeting and fo,CONSULTANT,business,54.0,2
"IT CONSULTANT           Summary      Over Seven years of Software Application Development, Application Support, Testing and Implementation experience with Web based and N-tier Architectures involving all stages of Software Development Life Cycle (SDLC).   Experience in developing Web applications in . SDLC) including requirements, logical and physical architecture modeling, design, development, implementation, and support.   Ability to work in a fast paced, collaborative environment and handle m",CONSULTANT,business,35.0,1
"CONSULTANT         Professional Summary    Accomplished seller with marketing and entrepreneurial chops. Proven record of exceeding service standards
and outpacing performance goals. Solid technical background with a focus on B2B SAAS and programmatic
advertising. Motivated, team-oriented and enthusiastic about helping companies grow.      Skills          B2B sales  Network development  Lead prospecting  Interpersonal communication skills  Brand marketing  Business development  Product developme",CONSULTANT,business,47.0,1
"CONSULTANT       Professional Summary     High-achieving management professional and effective consultant possessing excellent communication, organizational and analytical capabilities with about 4 years of experience in devising innovative strategies and solutions to resolve complex business challenges. Adept at managing projects, vendors, analyzing organizational operations, and performing customer journey, competitor and gap analysis.      High-achieving management professional and effective ",CONSULTANT,business,47.0,1
"CONSULTANT         Summary     
PC Technician, Security Analyst, and Security Services - Identity Management
 


  Solutions-oriented
 with notable success in a broad range of corporate IT initiatives, 
while participating in planning and the implementation of policy
 and procedures, set standards for reference and training.   


  Create
 and maintain procedures for end users and support staff to increase 
productivity and support for the end user.    A track record of increasing
 responsibilit",CONSULTANT,business,34.0,1
"CONSULTANT         Core Qualifications          Ganesh Seetharaman is a senior IT infrastructure specialist and Ganesh has just finished an international project for a client and is looking for a role specializing in the Solutions management. He has a Masters in Computer Applications (MCA) and is a seasoned technical specialist providing business infrastructure solutions, services and support, according to defined processes.  His expertise includes,  Project Management  Implementation Specialist",CONSULTANT,business,46.0,1
CONSULTANT           Professional Summary    Substance Abuse  Counselor  specializing in assessments.   Responsible self-starter who communicates well and is dedicated to improving the well-being of clients.        Skill Highlights          Superior communication skills  Therapeutic expertise  Medicaid familiarity  Psychiatric population familiarity      Solution-focused counseling  Exceptional problem solver  Quality management care team member  Community resources specialist            Accompl,CONSULTANT,business,39.0,1
"IT CONSULTANT       Career Overview     Network administration veteran with extensive experience  building, improving, supporting and architecting ASP-type infrastructures.        Qualifications        Windows Server 2000-2012, Active Directory, Windows Desktop O.S. 7 - 10, Exchange Server 2010-2013/VMWare vSphere (ESXI), Amazon Web Services, EC2, S3, CloudFront, Glacier, RDS, MySQL, MS SQL,  Linux Centos 6, Apple IOS, SonicWall, Office365
Software:		MS Office, RDP, Putty, SuccessWare21         ",CONSULTANT,business,44.0,1
"CONSULTANT           Professional Profile     Highly motivated and self-driven Systems Analyst with vast experience in various environments and technologies in support of multiple departments across the enterprise.  Expertise in Software Development Lifecycle (SDLC) and Computer Systems Validation (CSV).  Looking for an opportunity to apply and develop strong analytical skills and problem solving techniques.       Qualifications          Documentum DCM and Documentum D2, MS Access, VBA, C, C++, ",CONSULTANT,business,27.0,0
"CONSULTANT       Career Focus    To obtain a position in the area of SAP Consulting, utilizing my skills, academic background and past work experience, thus encouraging career advancement with growth of the organization. SYNOPSIS SYNOPSIS 7 years of professional experience with 5 yrs of experience as an SAP Consultant and 2 yrs in Banking and Financial Analysis Working with Infosys Limited, Sunnyvale, CA, USA as a SAP Consultant - SAP FI/CO since Oct 2010 Have been involved in 5 project implemen",CONSULTANT,business,25.0,0
"CONSULTANT       Professional Profile    To obtain a tax accountant position that offers me the opportunity to actively apply the knowledge and skills developed during my 9-year career in an international company.      Qualifications        Microsoft Word, Outlook, OneSource, OneNote, CorpTax, Oracle, PeopleSoft, CCH, BNA
Excel - Pivot Tables, VLookup              Experience     July 2015   to   September 2015     Company Name    City  ,   State    Consultant        Projections and Forecastings ",CONSULTANT,business,39.0,1
"CONSULTANT           Summary    Professional, dedicated hard worker. Over 10 years of Customer Service Experience. Self-motivated inside Sales Representative with excellent verbal and written communication skills and strong computer and CRM experience. Customer service professional dedicated to effective team management and customer satisfaction. Management professional effective at building highly- motivated teams as well as leading cross functional teams in a fast-paced environment. Enthusiast",CONSULTANT,business,41.0,1
"CONSULTANT           Summary     [job title] with more than [number] years of experience planning, developing and implementing [program or process] .Experienced manager with excellent client and project management skills. Action-oriented with strong ability to communicate effectively with technology, executive, and business audiences.high level of client interaction utilizing my extensive knowledge and experience in the retirement and compensation fields.  Resourceful, Responsible, Results-orien",CONSULTANT,business,40.0,1
"CONSULTANT           Professional Summary     AUDIT DIRECTOR Extensive experience in developing and redesigning internal audit departments, domestically and internationally in 19 countries. Results include upgraded internal controls, effective SOX 404 management, strong compliance management and an increase in organizational focus on solid internal controls and risks and Best Practices. Enjoy directing Internal Audit as a personal passion. Strengths include: Extensive Executive Skills          D",CONSULTANT,business,44.0,1
"CONSULTANT           Career Overview    Vidya is a Graduate in Computer Science with over 9 years of professional experience in Customer Relationship Management in roles of Solution Architect, Functional Analyst, Process and Implementation Consultant for large customers in Pharmaceutical & Chemical, Consumer and Industry Product, Public Sector Industry in the United States.
Excellent Networking and Communication skills, Client Relationship Management, Expectation Management and People Management",CONSULTANT,business,32.0,1
"CONSULTANT       Profile    Around 5 years of experience in Gathering Requirements, design, development, testing and implementing solutions in SAP and mobile. Worked as business analyst in telecom, Utility Industry. Good knowledge of Operations & Maintenance business process. Experienced in SAP EAM using Compatible units, Design and integration of Design with Work orders. Experience in end-to-end process using computable units for GAS and Electric line of business. Experienced in planning and ex",CONSULTANT,business,25.0,0
"CONSULTANT       Professional Summary         
















Astute
and innovative attorney with strong ability to develop and implement effective litigation case
strategies and write persuasive motions. Proven ability to resolve complex cases in
clients' favor.  Meticulous,
conscientious, tenacious, organized, analytical, and able to thrive in dynamic
environments.  

        Skills             Court Procedures  Legal Document Preparation  Strong Researcher  Strong Negotiator  














",CONSULTANT,business,44.0,1
"CONSULTANT           Summary     Master's degree in Computer Science with twenty-five years of experience designing, implementing, and maintaining computer programs, architectures, and operating systems. Expert in C, C++, Java, SQL and with web based applications. Over  ten years' experience teaching as adjunct or full time faculty while running a consulting firm.          Highlights          Proficient in HTML  SQL expert  Analytical      Self-starter  JavaScript expert  C, C++, Java expert    ",CONSULTANT,business,32.0,1
"CONSULTANT           Career Focus    Analytical and results oriented professional with 2+ years of extensive experience in conducting, analyzing and interpreting customer, competitor and market intelligence across the marketing spectrum on customer segmentations and product categories. Excellent analytical skills and a strong sense of structure and logic. Ability to prepare high quality presentation and spreadsheet models. Passionate about providing high quality, cutting edge research and have a",CONSULTANT,business,52.0,2
"CONSULTANT           Summary      Hard-working, entry-level Office Assistant, looking to apply my education and experience to a job in Administration. Customer service-oriented Administrative Assistant skilled in greeting patients, scheduling appointments and preparing patient charts.       Highlights          Microsoft Word, Excel, PowerPoint  Detail oriented  Planning/coordinating  Team leadership  Professional demeanor  Customer Service  Customer Satisfaction      Critical thinker  Excellent ",CONSULTANT,business,37.0,1
"CONSULTANT       Summary     Resourceful Marketing Manager accomplished in all aspects of program and project management, content/collateral development, web/online marketing, including web development and design, social media, and SEM. Self-starter skilled at analyzing market trends and customer/stakeholder needs to develop and manage highly-effective programs and campaigns.  Team player with strong ability to communicate effectively with technology, and business audiences.        Highlights   ",CONSULTANT,business,53.0,2
"CONSULTANT       Summary    Transition from an Application Developer and secure a position as a Business Analyst or Technical liaison with a company that can fully utilize my education and experience, while offering upward growth and opportunity.      Skills          Microsoft .Net Visual Basic and C#  Blaze Advisor .net Rules Engine  HTML, JavaScript  Visual Basic 5.0 and C++ programming - Introduction and advanced concepts.                 Experience      Consultant   06/2012   to   Current   ",CONSULTANT,business,42.0,1
"CONSULTANT       Summary     An accomplished and results-driven  MARKETING AND SALES MANAGER AND PROFESSIONAL  with extensive experience in new business development, branding, customer relations, account and people management, training and development, and new, emerging, and traditional media. Leverages practical experience with strong communication skills, working well with all levels of an organization. Possesses a proven track record of turning underperforming business units into profit cente",CONSULTANT,business,54.0,2
"CONSULTANT         Professional Summary       Health care Administrative Assistant with 3 years of experience    Experience in the health field for 5+ years    Allocated monthly budget of $1000 for Muslim Students Association's planned activities    Organized fundraising events with the supervision of the Event coordinator at Wing's Program         Skills           Skilled in Microsoft Office Suite, Adobe Premier Suite, SQL Database, and SAS    Planning and development    Strategic decision maki",CONSULTANT,business,36.0,1
"CONSULTANT       Summary    USE MY SKILLS TO MEET THE REQUIREMENTS OF THE 
		COMPANY I WORK FOR IN ORDER TO COMPLETE THE  
		COMPANIES GOALS.      Skills        Excel and Microsoft Office
	         Read Schematics and Blue Prints            Work History            Company Name                  Experience      Company Name   City  ,   State     Consultant      Had Classes for safety and handed out rule books to personnel. Set up programs on their computers help them keep current location of their",CONSULTANT,business,17.0,0
"CONSULTANT         Education and Training      Master of Health Administration     2015     University of Missouri   －   City  ,   State            Master of Science  ,   Health Informatics and Bioinformatics   2015     University of Missouri   －   City  ,   State     Health Informatics and Bioinformatics       Bachelor of Science  ,   Business Administration - Marketing   2011     University of Missouri   －   City  ,   State     Business Administration - Marketing       Skills          Healthca",CONSULTANT,business,47.0,1
"CONSULTANT       Summary    Building Design and Construction Manager
Extensive management leadership in successful operations, devising strategies to measurably improve corporate profit. Adept at acquiring, developing and managing building construction projects across a wide range of project types. Expertise in executing the Work while managing staff and accounting. Key skills include Business Development, Building Construction, Estimating, Scheduling, Contracts and Negotiations, Building Design",CONSULTANT,business,50.0,2
CONSULTANT       Professional Profile    Consultant/System Engineer with 6  years in HealthCare IT. Primary focus has been on Linux with a recent emphasis on Regulatory Consulting and Transition of Care. Experienced in training and development of associates along with development of documentation.      Qualifications          Working independently  Training program implementation  Quality control  Process improvement   System testing        Gap analysis  System administration  UNIX system perfor,CONSULTANT,business,35.0,1
"CONSULTANT         Profile     A highly accomplished, skilled and talented Consulting manager with a thorough understanding of the Software development Life Cycle and a proven track record of successfully providing overall direction to project teams and managing client relationship.       Professional Experience      Consultant  ,   01/2001   to   11/2014    Company Name   －   City  ,   State      Led a data migration project for a client P & C insurance company from a legacy client server insur",CONSULTANT,business,47.0,1
"IT CONSULTANT         Professional Summary     Highly qualified Electronics Engineering Technician with training and experience in electrical and mechanical systems. Demonstrated ability to read schematic diagrams and use appropriate test equipment to troubleshoot equipment and manufactured products. Excellent at contributing to team and project success by sharing acquired knowledge and using strong interpersonal communication skills to encourage high-level performance. Proficient in installing,",CONSULTANT,business,39.0,1
"CONSULTANT       Professional Summary    Over 15 years of experience in the Non-profit social services sector. Specific target populations: underserved Native American, Latino, youth, adults and families. Passionate about helping others become empowered and self-sufficient through community resources and wrap-around services. Extensive work in the following areas: operational management, case management, grant writing, program development/ management, fundraising, community outreach and direct c",CONSULTANT,business,40.0,1
"CONSULTANT       Experience     09/2016   to   08/2017     CONSULTANT    Company Name   －   City  ,   State      Supports the planning, organization, development, and direction of overall operation of a $1M Substance Abuse and Mental Health Services Administration grant during its no cost extension.  Provides information, technical assistance and training to ensure the program operates in accordance with current federal, state, and local standards, guidelines and regulations, our established pol",CONSULTANT,business,52.0,2
"CONSULTANT       Summary    College graduate with interest in insurance claims work. Proven record of success in all endeavors. Strong work ethic and focus on the details. Excited to begin career in investigative work. Searching for an entry level position as an insurance claims adjuster.      Skills          Unix, SQL Server 2005, SQL Server 2008, SQL Server 2008R2, VM-Ware, ODBC, SQL, PL/SQL, Access, MS Office Suite, MS Visio, Oracle 10g, Oracle 11g, SAP Business Objects BI Suite, PeopleSoft, ",CONSULTANT,business,45.0,1
"CONSULTANT       Summary     As a proud Microsoft employee, I'm driven by Customer obsession, Growth Mindset and One Microsoft principles. In every position I've had at Microsoft, my guiding principle has been taking customer feedback and advocating for cross-organizational initiatives to unite the ecosystem to provide the best possible product, services and support experience for our customers. Combining my technical knowledge and experience with my excellent communication, problem solving and ",CONSULTANT,business,40.0,1
"CONSULTANT         Highlights           Employee relations     Performance management strategies   Excellent interpersonal and coaching skills    Course Prep for SHRM-SCP (May 2017)       Employee handbook development  Event management  Manager coaching and training  Employee relations  Hiring and retention            Experience      Consultant     Aug 2015   to   Current      Company Name   －   City  ,   State    Create professional business presentations.  Contacted new and existing customers ",CONSULTANT,business,43.0,1
"CONSULTANT             Experience     07/2011   -   Current     Company Name   －   City  ,   State    Consultant        Developed new business for PARS in the governmental retirement plan marketplace while building long-term relationships with school district superintendents and chief business officials.  Exceeded revenue and gross profit goals at IKON as a Major Account Executive, selling over $1 million annually to the University of Vermont.  Executed the highest level of customer interaction ",CONSULTANT,business,48.0,1
"CONSULTANT       Summary    Military veteran and PhD with a breadth of professional experience. Proven expertise in long- and short-term projects with tight deadlines and changing requirements.      Highlights        *Analytical problem solving	*	Superb writer and editor
*Articulate presentation skills	*	Research / Analysis
*Data collection and analysis	*	Effective team leader
 Consulting, Research, Analysis, Qualitative Analysis, Quantitative Analysis, Social Media, Project Management, Media An",CONSULTANT,business,57.0,2
"CONSULTANT         Qualifications          I am a senior IT infrastructure specialist and have 7 years of OEM administration and 6 years of DBA administration. I have Masters in Computer Applications (MCA) and a seasoned technical specialist providing business infrastructure solutions, services and support, according to defined processes. With an overall experience spanning 12 years and having worked for Oracle for a period of 11 years, I have a tremendous track record in IT support area for mul",CONSULTANT,business,38.0,1
"CONSULTANT       Summary     A dynamic public relations professional with 15 years of experience in developing integrated communications and media relations programs that drive executive eminence, thought leadership and brand awareness.       Highlights          Strong background in integrated, multi-channel communications.   Focus on building thought leadership programs that lead to executive and brand eminence.   Background in developing social content and strategies that lead to stakeholder e",CONSULTANT,business,42.0,1
"CONSULTANT           Summary     I consider myself to be a charismatic and persuasive Marketing Manager offering expertise in property management, public speaking, advertising and media relations. My superb writing and speaking skills allows me to communicate effectively with target audiences through strategic brand management and PR campaigns. I am tech-savvy and confident with three years of marketing and public relations experience. Team structure and leadership is very important to me and I ",CONSULTANT,business,33.0,1
"CONSULTANT       Executive Profile     Marketing Executive offering outstanding presentation, communication and cross-cultural team management skills. High-energy, results-oriented leader with an entrepreneurial attitude. Desires a high-level position in a professional corporate environment.       Skill Highlights          Hubspot/SEO  Marketo  Google Analytics/PPC  Wordpress  Salesforce.com      Project Management  Basecamp  JIRA  MS Project  Trello            Core Accomplishments      Project ",CONSULTANT,business,54.0,2
CONSULTANT           Executive Profile    P&L MANUFACTURING/ENGINEERING & SUPPLY CHAIN EXECUTIVE Increasing Revenues  Profitability and EBITDA  Coaching and Leading Teams  Operational Turnarounds Strategic Planning  Creative Solutions  Creating Value  Driving Results Highly accomplished P&L manufacturing executive with a proven track record in leading manufacturing and distribution businesses by utilizing lean tools in the value adding stream.  Turnaround experience. Increasing price/earnings mu,CONSULTANT,business,50.0,2
"IT CONSULTANT       Career Overview    Director of Information Technology More than two decades of sound IT leadership in areas including IT strategy and security; systems analysis, architecting, installation, integration and streamlining; software development and management; network design, administration and management; technical support and help desk management and telecommunications management. Proven business leadership skills in strategic planning, consulting, change management, policy dev",CONSULTANT,business,46.0,1
"IT CONSULTANT       Professional Summary    Support Engineer with Public Trust Clearance and 10 years of Information Technology experience in installing, maintaining, and repairing hardware, software, and networks. Work well independently, or in a group setting providing all facets of server, computer and network support. Fluent in Spanish.      Core Qualifications        Technical Hardware: Windows, Macintosh, IBM, Dell, Toshiba, Sony, HP, Cisco routers, switches, network printers Operating Sys",CONSULTANT,business,51.0,2
"CONSULTANT       Executive Profile     Accomplished high-energy Executive Manager with a strong background in manufacturing engineering and  over 25 years of experience with significant accomplishments in turnaround situations, team building, training, strategic planning, P&L oversight and revenue enhancement. Results oriented, consummate professional with excellent interpersonal and communicative skills, outstanding problem solving/troubleshooting abilities, and a proven success record achievin",CONSULTANT,business,42.0,1
"CONSULTANT       Summary     Friendly and enthusiastic [Job Title] with [Number] years of specialization in [Type of Restaurant]. Able to learn new tasks quickly and proficient in growing key customer relationships. Represent establishment with friendly, professional demeanor at all times.       Highlights          Detail-oriented team player with strong leadership, advising, consulting and problem resolution skills.  Offer valuable experience in sales and customer service, along with prospectin",CONSULTANT,business,46.0,1
"CONSULTANT           Summary    Accomplished and highly skilled Controller with a proven ability to impact corporate performance through skillful orchestration of fiscal management and team leadership. Keen ability to influence processes integral to company growth driving operational excellence and achievement of objectives. Expertise in financial statement preparation and analysis, operational management, forecasting, and cost control. Provide strategic value by leveraging current financial adm",CONSULTANT,business,42.0,1
"Qualifications        Microsoft Office Specialist, Symantec Endpoint Protection, Symantec Backup Exec., A+, Network+; Expert use of Service Management software & tools; Ability to learn new skills quickly; Solving complex PC, Network, Software issues; Software distribution automation; Software compliance audit & remediation; IT asset tracking & inventory audit; system security administration; support fortune 500 business users with level 1, 2, and 3 incidents; member of high priority technology ",CONSULTANT,business,42.0,1
"CONSULTANT           Profile    Results driven and team oriented reservoir engineer with extensive experience in reservoir management, enhanced oil recovery, reserve evaluation, integrated reservoir modeling, compositional simulation, economic analysis, geomechanics, and project management, looking to utilize his diverse analytical and research skills in a challenging role. Fluent in English and French. Has experience working with professionals of different technical and cultural backgrounds.   ",CONSULTANT,business,38.0,1
"CONSULTANT           Executive Profile    As a professional in health care for over 40 years, I have had numerous experiences, clinical and nonclinical, that would be an asset to any organization. I have authored numerous policies and procedures and technical advisor for several books. Working as Paramedic, Nurse, Travel Nurse (ED and Home Health), Manager, Educator, Consultant, Director, Regulator,  and serving on two Board(s) of Directors, I am a people person, and have developed and managed t",CONSULTANT,business,47.0,1
"CONSULTANT           Career Overview     Macintosh Expert with 20 years in technical and customer support roles. Experience in back-end programming, relational databases and development/maintenance of complex and critical systems. Wireless system design for Point-To-Point networks.       Qualifications          Apple Certified Technical Coordinator  Apple Certified Support Professional  Apple Certified Associate Mac Integration  Apple Certified Help Desk Specialist  Apple Certified Macintosh Tec",CONSULTANT,business,31.0,1
"CONSULTANT       Summary     Accomplished Senior Business Systems Analyst with over 10 years of business process, project management, and technology experience for fortune 500 companies.   Recognized success in driving projects of the highest level of complexity, critical business value, and corporate visibility.       Highlights          International Institute Business Analysis (IIBA) Certification - August 2011  MCDST Certification - Microsoft Certified Desktop Support Technician - August 200",CONSULTANT,business,36.0,1
"CONSULTANT       Summary    Transitioning Military Professional eager to apply acquired skills to serve Aflac and the
          healthcare industry. Creates business partnerships and builds trust with managers and
          employees to create a positive work environment through networking. Driven
          professional who effectively builds loyalty, long-term relationships and promoting the
          company's brand.        Experience     03/2016   to   Current     Consultant    Company Name  ",CONSULTANT,business,26.0,0
"CONSULTANT         Profile    Knowledge of most common operating system
*Superior troubleshooting ability 
*Ability to install and configure networks and personal computers
*Excellent customer service skills          Professional Experience      Company Name     January 2008   to   Current     Consultant   City  ,   State      Provide support for laptops, desktops and networks.  Troubleshoot all computer issues both remote and onsite.  Custom build systems based on user specifications.          ",CONSULTANT,business,22.0,0
CONSULTANT           Career Overview    Ten years of experience with Cerner implementations as a Consultant and Employee. Experience with all phases of implementation from Current State Workflows to Conversion for inpatient and outpatient hospitals/clinics. Skilled in initiating and leading implementations involving rollout of multiple ambulatory clinics within a 1-2 month timeframe. Skilled in implementations for inpatient hospitals. Experience in designing and building multiple components of P,CONSULTANT,business,34.0,1
"CONSULTANT       Professional Summary    Highly organized Microbiologist successful at managing people and time, with expertise in Molecular Genetic Research, Quality Control System Operations, Cross Functional Leadership, Consulting, Training and Development and Validation of new products and facilities.      Skills          RNA isolation knowledge  Proficient in PCR  In-vivo transcription  Published researcher  Skilled in genotyping  Protein isolation  Southern blotting  Transcription profilin",CONSULTANT,business,46.0,1
"CONSULTANT         Skills          Assessment  Project Management - Consult with clients to gain detailed information used to develop comprehensive  project plans and tasks.  Process Improvements - The ability to devise and implement processes, procedures, systems and  internal controls to strengthen operations and enhance customer satisfaction.  Professional Training and Development - Extensive knowledge of electronic health care software and  its clinical functionality as it relates to clinic ",CONSULTANT,business,37.0,1
"CONSULTANT       Summary    I am an experienced Program Manager, delivering enterprise-grade on-premises and SaaS products at Microsoft while being customer obsessed.  I was previously an Enterprise Desktop Architect at multiple large companies, both as an employee and in a consulting capacity.  I have a proven track record of positive impact in enterprise desktop management, infrastructure, systems administration, programming and automation, enterprise architecture, and project management.     ",CONSULTANT,business,32.0,1
"CONSULTANT         Education and Training     2016     MPH, George Washington University Bangladesh Medical College, University of Dhaka   City         MBBS             2003     Community Medicine, Microbiology, Pathology, Internal Medicine & Psychiatry              Skill Highlights        Microsoft Word, Excel, and Power Point            Professional Experience     October 2015   to   November 2015     Company Name          Consultant        Identified Growth Monitoring and Promotion (GMP) prog",CONSULTANT,business,24.0,0
"CONSULTANT       Summary    Position in Accounting/Regulatory or banking operations      Highlights        Microsoft Office, Lotus Notes, QuickBooks, ACBS, BCS, OTG, AP, RECON+, FMS (G/L System), REVAL (evaluation of  hedged funding) and Bloomberg.            Accomplishments    I was awarded
Certificate of Recognition for the year 1998 that helped in lifting of the
agreement with Federal Reserve Bank of New York. I was also awarded Certificate
of Appreciation for the year 1999.      Experience  ",CONSULTANT,business,16.0,0
"CONSULTANT           Summary    HR Professional with nearly 5 years of experience with expertise in HR Operations, Benefits, Employee Relation, HRIS , Payroll, HR Metrics & Employee Database Management.
*An expert communicator & negotiator with strong conflict resolution skills.
*Developing and implementing HR plans and procedures smoothly with little or no guidance.      Highlights          Microsoft Office, Excel  ERP/Platform:	SAP, Oracle (11.x, 12.x)  Reporting:          Excel, Cognos, Oracl",CONSULTANT,business,37.0,1
"CONSULTANT         Core Qualifications          SKILLS AND ACTIVITIES  Volunteer English Teacher for ""Teach India""; Challenge for Charity; SQL, SPSS, Tableau, MS Excel, Power Point.              Accomplishments      Evert McCabe Fellowship, Rick and Marilyn Wong Scholarship, Business Technology Club Board member  Owned development, testing and maintenance of 4 mission critical Web Services that powered a Web based product that generated over $5M in annual revenue. Won ""Beyond the Call of Duty"" a",CONSULTANT,business,37.0,1
CONSULTANT           Highlights        TECHNOLOGY SKILLS Visual Basic * HTML * JavaScript * SQL * XML * Python * MVC * FileMaker * PHP * Advanced Excel * SiteCatalyst CORE COMPETENCIES Problem Solving * Relational Databases * Process Reengineering * Customer Relations * Staff Management Startups & Transitional Environments * Systems Integration * Data Migration * Reporting & Automation            Accomplishments    Received Sales Achievement Award for attaining 163% billable hours target with 5/,CONSULTANT,business,61.0,2
"CONSULTANT       Profile     

Skilled professional with 15 years of
experience in electrical and quality engineering for numerous engineering

and quality control processes. Expertise in
creating detailed test plans and test cases for optimal quality control.

Solid background in various testing
methodologies for both client-facing and non-client-facing procedures

and products.

       Experience      Customer Relations     Monitored customer technical related issues   Maximized operational ef",CONSULTANT,business,46.0,1
"CONSULTANT           Summary     Solutions-focused, versatile management professional offering a comprehensive background supporting U.S. military operations in roles of increasing responsibility during a 30-year career in the United States Marine Corps.  Effective communicator who quickly masters new roles and technologies to achieve positive results.       Highlights          Strong verbal communication  Extremely organized  Strong Managerial Skills  Attends to detail  Effective writing skills",CONSULTANT,business,14.0,0
"CONSULTANT         Executive Profile     Visionary Operations Executive with solid experience managing all levels of multiple projects including budgeting and administration.       Skills      Multiple Facility Management and Oversight  ASC Administrator Mentoring, Training and Development  Revenue Cycle Management  Vendor Negotiations  Budget Creation and Analysis  Diverse Market and Industry Knowledge  Process improvement, QAPI Program Support  Accreditation Preparation   Payer Contracting Neg",CONSULTANT,business,48.0,1
"CONSULTANT       Career Overview    A highly motivated techno-functional and business savvy professional desire to obtain a position as IT Manager/ IT Head with strong ISO 27001 2005 Information Security knowledge & Network Administration, which will best utilize my managerial experience while allowing challenges and growth. I am looking for new position that will enhance my skill and give me an ample opportunity for growth. Over 10 years' rich experience and demonstrated expertise in a wide gam",CONSULTANT,business,27.0,0
"CONSULTANT       Skills           Financial aptitude with In-depth knowledge of sourcing vendors for medical supplies   Specifically with purchasing and sale of medical supplies   Critical thinking proficiency & sound decision making abilities in time sensitive situations     Cultural awareness and sensitivity         Extensive experience with Microsoft Office; Word, Excel, Access   Confident public speaker    Relationship and team building skills with emphasizes in conflict resolution          ",CONSULTANT,business,43.0,1
"CONSULTANT       Summary    Business focused professional with a passion for healthcare and patients. Leverage experience and expertise to help
 businesses execute on their strategic initiatives. Experience in managing experience design and human-centered focused
 projects, strategy planning, logistical planning and execution, strategic change management, corporate communications,
 project management, and learning design. Known for an innate ability to diagnose problems and develop creative
 sol",CONSULTANT,business,47.0,1
"CONSULTANT       Summary    In-depth knowledge and understanding of numerous software packages and operating systems.
     Skilled in Database Administrator, Network Administration, Web developer. Providing Customer and
     End-User Help Desk Support. Easily identify and resolve technical issues and concerns. Excellent
     communication and presentation capabilities      Experience      Consultant      Mar 2014   to   May 2017      Company Name   －   City  ,   State     Provided object-oriente",CONSULTANT,business,26.0,0
